age,articleNumber,bias-question,country,gender,language1,newsOutlet,politics,url
27,441.0,is-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/04/10/europe/french-presidential-election-results-intl/index.html
39,481.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/midwestern-storm-rainy-weather-snow-great-lakes-northeast
48,316.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/wake-forest-medical-school-del-rosario-pronoun-patient-twitter
38,230.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61018821
39,366.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/ohio-man-who-pleaded-guilty-to-manslaughter-in-neighbors-gruesome-asphyxiation-death-gets-4-years-in-prison
33,430.0,is-biased,United States,Male,English,FOX,Other,https://www.foxnews.com/us/police-warning-about-dangerous-new-tiktok-challenge-sweeping-us
30,184.0,is-not-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/blankets-of-hope-nonprofit-homeless-shelters-ukraine
42,114.0,is-biased,United Kingdom,Female,English,CNN,Liberal,https://www.cnn.com/2022/03/21/us/texas-wildfires-monday/index.html
49,149.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/11/us/ghost-guns-what-to-know/index.html
31,196.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/us-navy-to-decommission-newest-warships
37,90.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/maryland-senior-citizen-assaulted-suspects-attempted-car-jacking
36,186.0,is-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-60655723
55,463.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/georgia-to-pennsylvania-300-guns-trafficked-atlanta-rapper-straw-purchasing-scheme
43,64.0,is-biased,Burkina,Male,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-61018821
37,348.0,is-not-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/tesla-driver-careens-texas-sidewalk-video
28,492.0,is-not-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/08/politics/poland-jets-ukraine-russia/index.html
25,492.0,is-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/03/08/politics/poland-jets-ukraine-russia/index.html
62,174.0,is-not-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60797948
